ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF016YNQ	HepG2	RARA	K562	2959575	15496	25000	44653	3530	350
ENCFF018HWM	K562	ZNF7	K562	2959575	15496	25000	15463	3932	115
ENCFF018TNP	K562	PRMT5	K562	2959575	15496	25000	2067	255	27
ENCFF019NGO	K562	ZNF253	K562	2959575	15496	25000	1093	325	9
ENCFF019SZJ	HepG2	GPBP1L1	K562	2959575	15496	25000	47	2	1
ENCFF020XNM	K562	SNIP1	K562	2959575	15496	25000	2166	663	19
ENCFF021JCJ	K562	ZNF12	K562	2959575	15496	25000	8006	1594	86
ENCFF021NPR	HepG2	ZBTB7A	K562	2959575	15496	25000	12766	1346	101
ENCFF021YBN	HepG2	ZBED4	K562	2959575	15496	25000	16570	2200	112
ENCFF022GRJ	HepG2	BCLAF1	K562	2959575	15496	25000	50	0	0
ENCFF022KBD	HepG2	RCOR1	K562	2959575	15496	25000	4634	808	33
ENCFF022KBK	K562	CEBPB	K562	2959575	15496	25000	27136	5683	250
ENCFF022QCK	HepG2	HNF1B	K562	2959575	15496	25000	33596	3959	261
ENCFF023IFO	K562	NFE2	K562	2959575	15496	25000	40556	4634	331
ENCFF023JGT	K562	HSF4	K562	2959575	15496	25000	3000	1315	31
ENCFF024BHX	MCF-7	OVOL1	K562	2959575	15496	25000	22830	2153	192
ENCFF024LQZ	HepG2	ZNF737	K562	2959575	15496	25000	4897	680	27
ENCFF026PPP	HepG2	AFF4	K562	2959575	15496	25000	6926	1021	54
ENCFF028OBL	HepG2	SMC3	K562	2959575	15496	25000	33582	2356	304
ENCFF029RBI	K562	SREBF1	K562	2959575	15496	25000	2851	960	25
ENCFF031NTF	K562	MEF2A	K562	2959575	15496	25000	6412	2115	46
ENCFF032ZPF	HepG2	TAF1	K562	2959575	15496	25000	17287	2317	131
ENCFF034ASW	HepG2	ZNF335	K562	2959575	15496	25000	15193	2445	134
ENCFF034RYJ	HepG2	ZNF629	K562	2959575	15496	25000	31593	1839	271
ENCFF035OPG	HepG2	HNRNPK	K562	2959575	15496	25000	25269	1318	219
ENCFF038WQY	K562	C11orf30	K562	2959575	15496	25000	56467	5776	479
ENCFF039JSN	HepG2	THYN1	K562	2959575	15496	25000	3462	482	34
ENCFF039TWK	A549	ESRRA	K562	2959575	15496	25000	2796	481	17
ENCFF041YZV	HepG2	NFRKB	K562	2959575	15496	25000	1603	346	6
ENCFF042SUM	HepG2	ZNF766	K562	2959575	15496	25000	13032	1847	98
ENCFF043NUC	MCF-7	PKNOX1	K562	2959575	15496	25000	28200	2271	226
ENCFF044VTI	HepG2	RORA	K562	2959575	15496	25000	2578	285	21
ENCFF044XYZ	HepG2	ZXDC	K562	2959575	15496	25000	9359	1314	78
ENCFF045CFL	K562	ZNF274	K562	2959575	15496	25000	3153	878	22
ENCFF048BKZ	K562	SRSF3	K562	2959575	15496	25000	1806	519	14
ENCFF048GXO	HepG2	MYNN	K562	2959575	15496	25000	5579	991	43
ENCFF048HNT	HepG2	AHDC1	K562	2959575	15496	25000	26868	2223	219
ENCFF049BWK	HepG2	E2F1	K562	2959575	15496	25000	11834	2006	93
ENCFF049ISU	HepG2	ZC3H8	K562	2959575	15496	25000	9675	1576	71
ENCFF049MDN	K562	ZNF764	K562	2959575	15496	25000	2881	766	38
ENCFF050KYT	HepG2	ZNF512B	K562	2959575	15496	25000	9652	1090	72
ENCFF050QMU	HepG2	SRF	K562	2959575	15496	25000	7165	1014	60
